시도명,누적확진자(명),누적사망자(명),"발생률
(인구10만명당, 명)","사망률
(인구10만명당, 명)"
계,"34,572,554","35,605","67,211",69
서울,"6,751,335","6,587","71,607",70
서울,"466,716",277,"88,209",52
서울,"322,116",448,"70,015",97
서울,"189,592",151,"64,562",51
서울,"389,407",334,"68,417",59
서울,"313,619",214,"64,431",44
서울,"236,985",198,"70,235",59
서울,"292,364",405,"73,957",102
서울,"171,778",149,"74,803",65
서울,"327,866",339,"65,087",67
서울,"195,700",232,"62,786",74
서울,"231,217",437,"68,683",130
서울,"248,878",255,"65,392",67
서울,"276,833",97,"75,920",27
서울,"205,854",368,"67,199",120
서울,"312,013",199,"77,169",49
서울,"207,559",207,"73,864",74
서울,"265,918",347,"61,784",81
서울,"477,853",396,"72,534",60
서울,"298,295",283,"67,659",64
서울,"315,675",340,"84,029",91
서울,"139,868",129,"63,969",59
서울,"313,785",260,"67,228",56
서울,"143,795",229,"101,709",162
서울,"168,496",83,"139,904",69
서울,"239,153",210,"62,066",55
부산,"2,092,642","2,911","63,073",88
부산,"92,319",12,"64,465",8
부산,"139,215",152,"62,920",69
부산,"115,928",93,"64,904",52
부산,"149,615",118,"58,367",46
부산,"73,515",153,"85,026",177
부산,"180,820",271,"66,180",99
부산,"207,871",344,"58,404",97
부산,"160,994",184,"57,734",66
부산,"135,396",204,"66,439",100
부산,"180,339",221,"59,717",73
부산,"79,231",348,"75,320",331
부산,"102,353",265,"58,552",152
부산,"155,065",190,"76,186",93
부산,"60,992",101,"56,393",93
부산,"26,443",60,"66,626",151
부산,"232,546",195,"60,123",50
대구,"1,516,421","2,050","64,134",87
대구,492,-,-,-
대구,"100,490",420,"71,008",297
대구,"348,370",286,"64,875",53
대구,"158,273",110,"60,143",42
대구,"209,270",278,"61,635",82
대구,"261,899",341,"60,778",79
대구,"126,914",239,"79,407",150
대구,"247,752",157,"60,199",38
대구,"62,961",219,"78,506",273
인천,"1,991,892","1,941","67,128",65
인천,"38,397",85,"55,008",122
인천,"189,033",185,"65,442",64
인천,"334,961",420,"66,174",83
인천,"54,794",43,"92,873",73
인천,"253,531",298,"62,445",73
인천,"308,665",278,"63,106",57
인천,"390,693",334,"66,330",57
인천,"296,640",76,"76,890",20
인천,"7,509",1,"36,428",5
인천,"117,669",221,"76,943",145
광주,"1,018,499",868,"71,171",61
