일자,국내발생(명),해외유입(명)
2020-01-20,-,1 
2020-01-21,-,-
2020-01-22,-,-
2020-01-23,-,-
2020-01-24,-,1 
2020-01-25,-,-
2020-01-26,-,1 
2020-01-27,-,1 
2020-01-28,-,-
2020-01-29,-,-
2020-01-30,1 ,2 
2020-01-31,3 ,1 
2020-02-01,-,1 
2020-02-02,1 ,2 
2020-02-03,-,-
2020-02-04,-,1 
2020-02-05,3 ,2 
2020-02-06,1 ,2 
2020-02-07,-,-
2020-02-08,-,-
2020-02-09,1 ,2 
2020-02-10,1 ,-
2020-02-11,-,-
2020-02-12,-,-
2020-02-13,-,-
2020-02-14,-,-
2020-02-15,-,-
2020-02-16,2 ,-
2020-02-17,-,-
2020-02-18,2 ,-
2020-02-19,34 ,-
2020-02-20,16 ,-
2020-02-21,74 ,-
2020-02-22,190 ,-
2020-02-23,209 ,1 
2020-02-24,206 ,1 
2020-02-25,129 ,1 
2020-02-26,252 ,1 
2020-02-27,447 ,2 
2020-02-28,427 ,-
2020-02-29,909 ,-
2020-03-01,593 ,2 
2020-03-02,684 ,2 
2020-03-03,599 ,1 
2020-03-04,516 ,-
2020-03-05,437 ,1 
2020-03-06,518 ,-
2020-03-07,483 ,-
2020-03-08,366 ,1 
2020-03-09,247 ,1 
2020-03-10,131 ,-
2020-03-11,239 ,3 
2020-03-12,112 ,2 
2020-03-13,107 ,3 
2020-03-14,102 ,5 
2020-03-15,72 ,4 
2020-03-16,70 ,4 
2020-03-17,79 ,5 
2020-03-18,80 ,13 
2020-03-19,135 ,17 
2020-03-20,73 ,14 
2020-03-21,126 ,21 
2020-03-22,77 ,21 
2020-03-23,46 ,18 
2020-03-24,46 ,30 
2020-03-25,42 ,58 
2020-03-26,56 ,48 
2020-03-27,57 ,34 
2020-03-28,90 ,56 
2020-03-29,38 ,67 
2020-03-30,35 ,43 
2020-03-31,88 ,37 
2020-04-01,56 ,45 
2020-04-02,43 ,46 
2020-04-03,37 ,49 
2020-04-04,53 ,41 
2020-04-05,31 ,50 
2020-04-06,25 ,22 
2020-04-07,23 ,24 
2020-04-08,23 ,30 
2020-04-09,13 ,26 
2020-04-10,17 ,10 
2020-04-11,16 ,14 
2020-04-12,9 ,23 
2020-04-13,10 ,15 
2020-04-14,11 ,16 
2020-04-15,13 ,14 
2020-04-16,11 ,11 
2020-04-17,7 ,15 
2020-04-18,9 ,9 
2020-04-19,2 ,6 
2020-04-20,6 ,7 
2020-04-21,4 ,5 
2020-04-22,5 ,6 
2020-04-23,4 ,4 
2020-04-24,4 ,2 
2020-04-25,5 ,5 
2020-04-26,1 ,9 
2020-04-27,3 ,7 
2020-04-28,2 ,12 
2020-04-29,4 ,5 
2020-04-30,-,4 
2020-05-01,1 ,8 
2020-05-02,-,6 
2020-05-03,3 ,10 
2020-05-04,-,8 
2020-05-05,-,3 
2020-05-06,-,2 
2020-05-07,1 ,3 
2020-05-08,1 ,11 
2020-05-09,17 ,1 
2020-05-10,26 ,8 
2020-05-11,29 ,6 
2020-05-12,22 ,5 
2020-05-13,22 ,4 
2020-05-14,26 ,3 
2020-05-15,22 ,5 
2020-05-16,9 ,10 
2020-05-17,6 ,7 
2020-05-18,5 ,10 
2020-05-19,9 ,4 
2020-05-20,24 ,8 
2020-05-21,10 ,2 
2020-05-22,11 ,9 
2020-05-23,19 ,4 
2020-05-24,17 ,8 
2020-05-25,13 ,3 
2020-05-26,16 ,3 
2020-05-27,37 ,3 
2020-05-28,68 ,11 
2020-05-29,55 ,3 
2020-05-30,27 ,12 
2020-05-31,15 ,12 
2020-06-01,30 ,5 
2020-06-02,36 ,2 
2020-06-03,46 ,3 
2020-06-04,33 ,6 
2020-06-05,34 ,5 
2020-06-06,43 ,8 
2020-06-07,53 ,4 
2020-06-08,32 ,5 
2020-06-09,35 ,3 
2020-06-10,43 ,7 
2020-06-11,40 ,5 
2020-06-12,43 ,13 
2020-06-13,43 ,5 
2020-06-14,31 ,3 
2020-06-15,24 ,13 
2020-06-16,21 ,13 
2020-06-17,31 ,12 
2020-06-18,51 ,8 
2020-06-19,32 ,17 
2020-06-20,36 ,31 
2020-06-21,40 ,8 
2020-06-22,11 ,6 
2020-06-23,16 ,30 
2020-06-24,30 ,21 
2020-06-25,23 ,5 
2020-06-26,26 ,13 
2020-06-27,31 ,20 
2020-06-28,40 ,22 
2020-06-29,30 ,12 
2020-06-30,22 ,20 
2020-07-01,36 ,15 
2020-07-02,44 ,10 
2020-07-03,49 ,12 
2020-07-04,36 ,27 
2020-07-05,43 ,18 
2020-07-06,24 ,24 
2020-07-07,20 ,24 
2020-07-08,30 ,32 
2020-07-09,28 ,22 
2020-07-10,23 ,22 
2020-07-11,20 ,15 
2020-07-12,21 ,23 
2020-07-13,19 ,43 
2020-07-14,14 ,19 
2020-07-15,11 ,28 
2020-07-16,14 ,47 
2020-07-17,21 ,39 
2020-07-18,11 ,28 
2020-07-19,21 ,13 
2020-07-20,4 ,22 
2020-07-21,20 ,25 
2020-07-22,29 ,34 
2020-07-23,39 ,20 
2020-07-24,28 ,13 
2020-07-25,27 ,86 
2020-07-26,12 ,46 
2020-07-27,9 ,16 
2020-07-28,5 ,23 
2020-07-29,14 ,34 
2020-07-30,7 ,11 
2020-07-31,14 ,22 
2020-08-01,8 ,23 
2020-08-02,8 ,22 
2020-08-03,3 ,20 
2020-08-04,13 ,21 
2020-08-05,13 ,20 
2020-08-06,23 ,20 
